City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
231,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
234,Port Blair,IN,84.24,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
245,Akyab,MM,81.97,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
248,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
254,Byron Bay,AU,76.71,overcast clouds,-28.65,153.6167,Backpackers Inn
255,Pasni,PK,79.61,overcast clouds,25.2631,63.471,Kashmiri Hotal
257,Sabang,ID,81.86,overcast clouds,5.8933,95.3214,Hotel Citra
263,Kavaratti,IN,81.77,scattered clouds,10.5669,72.642,Green leaf
265,Hami,CN,76.12,clear sky,42.8,93.45,Laoyutang Resort
272,Sarankhola,BD,85.87,moderate rain,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
278,Senador Guiomard,BR,82.15,scattered clouds,-10.1522,-67.7392,Paraíso Hotel
281,Jaggayyapeta,IN,82.96,scattered clouds,16.9,80.1,A P S Resorts & Hotels Pvt Ltd
283,Limon,CR,77.05,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
286,Sola,VU,81.52,few clouds,-13.8833,167.55,Leumerus Bungalows
290,Chikhli,IN,75.09,broken clouds,20.35,76.25,HOTEL GULMOHAR
291,Kavieng,PG,85.06,clear sky,-2.5744,150.7967,Nusa Island Retreat
296,Faanui,PF,78.24,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
298,San Ramon,US,78.6,clear sky,37.7799,-121.978,San Ramon Marriott
300,Banjar,ID,85.95,overcast clouds,-8.19,114.9675,The Hamsa Resort
302,Labis,MY,85.77,broken clouds,2.385,103.021,Labis Sunrise Farm
304,Carmen,MX,81.23,few clouds,18.6333,-91.8333,Hotel Lossandes
306,Abeche,TD,77.92,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
307,Izumo,JP,80.55,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
310,Nouakchott,MR,80.42,light rain,18.0858,-15.9785,HOTEL IMAN
311,Hun,LY,75.2,clear sky,29.1268,15.9477,Alrwasi Hotel
318,Limbang,MY,82.51,overcast clouds,4.75,115.0,Purnama Hotel
319,Ewa Beach,US,83.43,shower rain,21.3156,-158.0072,Base Lodging
321,Porto Walter,BR,79.09,broken clouds,-8.2686,-72.7439,Hotel Silva
331,Marzuq,YE,75.09,broken clouds,14.4,46.4667,حيد القفلة
339,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
340,Tutoia,BR,78.85,broken clouds,-2.7619,-42.2744,Pousada Guará's
341,Bowen,AU,78.87,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
342,Tangzhai,CN,76.96,overcast clouds,34.4328,116.5911,Huilong Business Hotel
345,Sibolga,ID,82.98,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
350,Manavalakurichi,IN,81.25,broken clouds,8.1333,77.3,Jebinrio home
354,Abu Dhabi,AE,87.82,scattered clouds,24.4667,54.3667,Beach Rotana
355,Hobyo,SO,75.94,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
356,Machilipatnam,IN,82.42,broken clouds,16.1667,81.1333,R&B Bungalow
357,Champerico,GT,80.92,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
359,Kupang,ID,86.58,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
363,Nanakuli,US,83.44,light rain,21.3906,-158.1547,Camp Pālehua
370,Cockburn Town,TC,82.62,clear sky,21.4612,-71.1419,Osprey Beach Hotel
371,Hurghada,EG,82.27,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
376,Nortelandia,BR,82.29,few clouds,-14.4547,-56.8028,Pousada e Restaurante Santana
377,Natchitoches,US,79.65,clear sky,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
387,Hirara,JP,85.86,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
390,Shimoda,JP,77.36,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
397,Manicaragua,CU,76.33,light rain,22.1494,-79.9736,Hostal Las V
399,Banda Aceh,ID,84.65,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
400,Aswan,EG,83.5,clear sky,24.0934,32.907,Nuba Nile
401,Carutapera,BR,78.46,clear sky,-1.195,-46.02,Lidera
403,Puerto Leguizamo,CO,77.41,overcast clouds,-0.1934,-74.7819,la casona de juancho
412,Deogarh,IN,79.3,overcast clouds,21.5333,84.7333,Amit Henej House
417,Santa Rosa,PH,88.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
421,Alamogordo,US,77.22,scattered clouds,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
422,Havelock,US,78.75,scattered clouds,34.8791,-76.9013,Sherwood Motel
424,Atar,MR,80.38,light rain,20.5169,-13.0499,Oumou Elghoura
432,Phangnga,TH,84.24,overcast clouds,8.4509,98.5298,Sunimit Mansion
443,Hanting,CN,76.01,clear sky,36.7708,119.2108,Weifang Xinhongda Guesthouse
444,Isla Vista,US,78.98,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
445,Gorontalo,ID,88.0,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
448,Lufkin,US,80.51,clear sky,31.3382,-94.7291,Courtyard by Marriott Lufkin
449,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
452,Manzanillo,CU,78.85,light rain,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
458,Diffa,NE,83.21,scattered clouds,13.3154,12.6113,ProDAF/Diffa
459,Puri,IN,82.92,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
462,Khartoum,SD,89.6,scattered clouds,15.5518,32.5324,Hotel China
466,Ratnagiri,IN,78.28,overcast clouds,16.9833,73.3,Hotel Landmark
471,Misratah,LY,76.14,clear sky,32.3754,15.0925,Almasa Hotel
481,Wenling,CN,76.5,scattered clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
482,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,hotel la terminal
485,Shenandoah,US,80.94,broken clouds,30.4013,-91.0009,Quality Suites Baton Rouge East - Denham Springs
486,Soe,ID,88.2,overcast clouds,-9.8607,124.284,Dena Hotel
490,Payakumbuh,ID,80.49,overcast clouds,-0.2202,100.6308,Dalimo Homestay
492,Shingu,JP,80.82,scattered clouds,33.7333,135.9833,Shingu UI Hotel
493,Coolum Beach,AU,79.34,clear sky,-26.5333,153.1,Coolum Beach Resort
494,Sri Aman,MY,80.65,few clouds,1.2376,111.4621,Seri Simanggang Hotel
497,Kyaikkami,MM,76.24,overcast clouds,16.08,97.5675,St. joseph catholic church
